Study Accession	Suppl Concept	Modifier	Disease Background/Stratification, Phenotype/Biomarker, Treatment Response/Side_Effect or Interactions
GCST004759		biomarker	very low density lipoprotein cholesterol levels
GCST004760		phenotype	bone size (hip), bmi adjusted
GCST004761			bmi adjusted
GCST004762			bmi adjusted
GCST004763		response, background, biomarker	response to fenofibrate in statin-treated type 2 diabetes, hdl
GCST004764		response, background, biomarker	fenofibrate, statin-treated type 2 diabetes, ldl
GCST004765		response, background, biomarker	fenofibrate in statin-treated type 2 diabetes, totoal cholesterol
GCST004766		interaction, background, biomarker	fenofibrate, type 2 diabetes, triglyceride
GCST004767		phenotype	age at onset
GCST004768		interaction	prenatal lead exposure
GCST004769		interaction	prenatal lead exposure
GCST004770		phenotype	lean body mass
GCST004771		pleiotropy	lean body mass
GCST004772		phenotype	pediatric, lower limb
GCST004775		phenotype	pulse pressure
GCST004779		phenotype	uterine fibroid
GCST004780		biomarker	cortisol levels (saliva)
GCST004781		side effect	sulfasalazine
GCST004783		background	preterm infants
GCST004786		side effect	thiazide
GCST004787		phenotype	myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease
GCST004788		side effect, phenotype	paclitaxel and trastuzumab for her+ breast cancer, lvef
GCST004789		side effect	paclitaxel for her2+ breast cancer
GCST004790		side effect, phenotype	paclitaxel and trastuzumab for her+ breast cancer, lvef
GCST004790		treatment side effect	ER positive bresat cancer - paclitaxel and trastuzumab (cardiotoxicity)
GCST004791		interaction	c9orf72 mutation
GCST004792		background	c9orf72 mutation positive individuals
GCST004793		background	c9orf72 mutation negative individuals
GCST004794		background, phenotype	infant intracranial volume
GCST004795		background, phenotype	infant white matter volume
GCST004796		background, phenotype	infant cerebrospinal fluid volume
GCST004797		background, phenotype	infant grey matter volume
GCST004798		phenotype	differentiated
GCST004799		phenotype	family history of upper gastrointestinal cancer
GCST004800		interaction, phenotype	environmental tobacco smoke, fev1
GCST004801		response	ranibizumab
GCST004802		response	ranibizumab
GCST004803		response	ranibizumab, additional treatment requirement
GCST004804		phenotype	serum ig light chain only lambda based profile
GCST004805		phenotype	heart involvement
GCST004806		phenotype	heart and kidney involvement
GCST004807		phenotype	liver involvement
GCST004808		phenotype	serum igg profile
GCST004809		phenotype	serum ig lambda profile
GCST004810		phenotype	serum ig kappa profile
GCST004811		phenotype	serum ig light chain only lambda/kappa based profile
GCST004812		phenotype	kidney involvement
GCST004813		biomarker	laterality
GCST004814		interaction, biomarker	red blood cell fatty acid level, il-6
GCST004815		interaction, biomarker	eicosadienoic acid in rbc, c-reactive protein
GCST004815		interaction, biomarker	red blood cell fatty acid level, c-reactive protein
GCST004816		interaction, biomarker	red blood cell fatty acid level, lppla2
GCST004817		interaction, biomarker	red blood cell fatty acid level, tnfr ii
GCST004818		interaction, biomarker	docosapentaenoic acid in rbc, icam-1
GCST004819		interaction, biomarker	red blood cell fatty acid level, osteoprotegerin
GCST004820		interaction, biomarker	oleic acid in rbc, cellular adhesion molecule
GCST004821		interaction, biomarker	red blood cell fatty acid level, mcp-1
GCST004822		interaction, biomarker	red blood cell fatty acid level, p-selectin
GCST004824		phenotype	p wave terminal force
GCST004825		biomarker	uric acid
GCST004826		phenotype	p wave duration
GCST004827		phenotype	verbal memory performance (immediate recall change)
GCST004828		phenotype	verbal memory performance (immediate recall level)
GCST004829		phenotype	verbal memory performance (residualized delayed recall level)
GCST004830		phenotype	verbal memory performance (residualized delayed recall change)
GCST004831		phenotype	verbal memory performance (delayed recall level)
GCST004832		phenotype	verbal memory performance (delayed recall change)
GCST004834		phenotype	spine bmd
GCST004835		background	femoral neck
GCST004836		pleiotropy	femoral neck bone mineral density
GCST004837		pleiotropy	lumbar spine bone mineral density
GCST004838		pleiotropy	body mass index
GCST004841		phenotype	maternal effect
GCST004842		interaction	maternal pre-pregnancy bmi
GCST004843		interaction	maternal pre-pregnancy bmi
GCST004845		phenotype	spontaneous (maternal effect)
GCST004861		phenotype	itch intensity from mosquito bite
GCST004862		phenotype	itch intensity from mosquito bite adjusted by bite size
GCST004863		phenotype	mosquito bite size
GCST004864		phenotype	perceived unattractiveness to mosquitos
GCST004865		phenotype	itch intensity from mosquito bite adjusted by bite size
GCST004869		interaction	snp x mitochondrial t5004c interaction
GCST004870		interaction	snp x mitochondrial a4917g interaction
GCST004871		interaction	snp x mitochondrial g12771a interaction
GCST004872		interaction	snp x mitochondrial c16069t interaction
GCST004880		pleiotropy	type 2 diabetes
GCST004882		phenotype	11q deletion vs 11q undeleted and mycn amplification
GCST004883		phenotype	11q deletion
GCST004883		stratified	11q deletion
GCST004884		phenotype	1p deletion
GCST004884		stratified	1p deletion
GCST004885		phenotype	mycn amplification
GCST004885		stratified	MYCN amplification
GCST004887		background	current drinkers
GCST004891		phenotype	mean arterial pressure
GCST004892		phenotype	pulse pressure
GCST004896		response, phenotype	carboplatin and paclitaxel for serous epithelial ovarian cancer
GCST004896		treatment response	paclitaxel and cisplatin
GCST004897		response, phenotype	carboplatin and paclitaxel, serous epithelial ovarian cancer
GCST004897		treatment response	carboplatin and paclitaxel
GCST004898		phenotype	maternal effect
GCST004901	C531617	phenotype	sporadic
GCST004903		biomarker	glycated hemoglobin levels
GCST004919		biomarker	hdl
GCST004920		biomarker	ldl
GCST004921		biomarker	apolipoprotein a1 levels
GCST004924		biomarker	igg monogalactosylation
GCST004925		biomarker	igg glycosylation
GCST004926		biomarker	igg digalactosylation
GCST004927		biomarker	igg galactosylation
GCST004928		biomarker	igg bisecting n-acetyl glucosamine
GCST004929		biomarker	igg fucosylation
GCST004930		biomarker	igg sialylation
GCST004931		biomarker	igg disialylation
GCST004932		biomarker	igg monosialylation
GCST004938		background	pediatric non-alcoholic fatty acid liver disease
GCST004939		biomarker	glycated hemoglobin levels
GCST004940		biomarker	gpt
GCST004941		biomarker	dehydroepiandrosterone sulphate
GCST004942		background	pediatric, disease activity score
GCST004943		background	pediatric nonalcoholic steatohepatitis
GCST004944		pleiotropy	coornary artery disease
GCST004945		phenotype	lumbar
GCST004953		phenotype	disturbances of the gamma-frequency band of electroencephalography measures
GCST004955		background	alcohol dependence
GCST004956		interaction	alcohol dependence
GCST004957		response	darapladib
GCST004958		interaction	darapladib
GCST004959		interaction, background	darapladib, cardiovascular disease
GCST004960		side effect	darapladib for cardiovascular disease
GCST004961		phenotype	time to event
GCST004962		side effect	darapladib for cardiovascular disease
GCST004963		biomarker	lppla2
GCST004964		response, background	darapladib, cardiovascular disease
GCST004965		phenotype	time to event
GCST004966		response, biomarker	darapladib, lp-pla2 activity change
GCST004967		side effect, phenotype	darapladib for cardiovascular disease, moderate to severe
GCST004968		response, biomarker	darapladib, lp-pla2 activity change (adjusted for baseline)
GCST004969		phenotype	caudate activity during disappointment
GCST004970		phenotype	caudate activity during reward
GCST004971		phenotype	putamen activity during reward
GCST004972		background, phenotype	disappointment, putamen activity
GCST004973		pleiotropy	verbal-numerical reasoning
GCST004974		pleiotropy	schizophrenia
GCST004975		pleiotropy	schizophrenia
GCST004976		biomarker	nicotine metabolite ratio
GCST004981		phenotype	progression
GCST004983		phenotype	parental longevity
GCST004984		phenotype	clinic systolic blood pressure minus home systolic blood pressure
GCST004987		side effect, phenotype	antipsychotic for schizophrenia, qt prolongation
GCST004989		phenotype	early childhood
GCST004990		phenotype	ove the past year
GCST004991		phenotype	white matter microstructure in first episode schizophrenia (left inferior parietal cortex)
GCST004992		background, phenotype	first episode schizophrenia, right posterior cingulate cortex
GCST004993		background, phenotype	first episode schizophrenia, right anterior cingulate cortex
GCST004994		background, phenotype	first episode schizophrenia, left anterior cingulate cortex
GCST004995		background, phenotype	first episode schizophrenia, left posterior cingulate cortex
GCST004996		phenotype	first episode schizophrenia (total mean fractional anisotropy measurement)
GCST004997		background	microstructural abnormality of first episode
GCST004998		background	rheumatoid arthritis
GCST004999		phenotype	susceptibility
GCST005000		phenotype	cold sores
GCST005001		phenotype	susceptibility, shingles
GCST005002		phenotype	susceptibility
GCST005003		phenotype	susceptibility
GCST005004		phenotype	susceptibility
GCST005005		phenotype	susceptibility, plantar warts
GCST005006		phenotype	susceptibility
GCST005007		phenotype	susceptibility, strep throat
GCST005008		phenotype	susceptibility
GCST005009		phenotype	susceptibility
GCST005010		phenotype	susceptibility
GCST005011		phenotype	susceptibility
GCST005012		phenotype	susceptibility
GCST005013		phenotype	susceptibility, childhood
GCST005014		phenotype	tonsillectomy risk
GCST005015		phenotype	myringotomy, childhood
GCST005016		phenotype	susceptibility
GCST005017		phenotype	susceptibility
GCST005018		phenotype	susceptibility
GCST005019		phenotype	susceptibility
GCST005020		phenotype	susceptibility
GCST005021		phenotype	susceptibility, chronic
GCST005022		background	alcohol dependence
GCST005023		phenotype	eye movements (initial pursuit acceleration)
GCST005024		phenotype	eye movements (pursuit maintenance gain)
GCST005025		phenotype	anti-saccade response
GCST005026		phenotype	eye movements (initial pursuit acceleration)
GCST005027		background	psychotic disorders
GCST005028		phenotype	eye movements (pursuit maintenance gain)
GCST005029		phenotype	early gain, maternal effect
GCST005030		phenotype	late gain, fetal effect
GCST005031		phenotype	fetal effect
GCST005032		phenotype	early gain, fetal effect
GCST005033		phenotype	maternal effect
GCST005034		phenotype	late gain, maternal effect
GCST005035		biomarker	growth hormone
GCST005036		phenotype	lean body mass
GCST005037		phenotype	appendicular lean mass
GCST005038		phenotype	asthma, hay fever or eczema
GCST005039		response, phenotype	uncontrolled by combination therapy (beta blocker and thiazide diuretic)
GCST005040		response	combination therapy (beta blocker and thiazide diuretic)
GCST005041		response	combination therapy (beta blocker and thiazide diuretic)
GCST005046		biomarker	n-glycan
GCST005048		phenotype	idiopathic osteonecrosis
GCST005049		phenotype	apnea hypopnea index, non-rem sleep
GCST005050		phenotype	apnea hypopnea index, rem sleep
GCST005051		phenotype	apnea hypopnea index
GCST005052		phenotype	platelet-to-lymphocyte ratio
GCST005053		phenotype	neutrophil-to-lymphocyte ratio
GCST005056		phenotype	neutrophil count
GCST005057		phenotype	small vessel stroke
GCST005058		biomarker	hdl
GCST005059		biomarker	alb
GCST005060		biomarker	hemoglobin
GCST005061		biomarker	alkaline phosphatase
GCST005062		biomarker	fibrinogen
GCST005063		biomarker	glomerular filtration rate
GCST005064		biomarker	aspartate aminotransferase
GCST005065		biomarker	total cholesterol
GCST005066		biomarker	creatinine
GCST005067		biomarker	c-reactive protein
GCST005068		biomarker	ldl
GCST005069		biomarker	gamma-glutamyl transferase
GCST005070		biomarker	urea levels
GCST005071		biomarker	insulin like growth factor
GCST005072		biomarker	ferritin
GCST005073		biomarker	triglyceride
GCST005074		biomarker	testosterone
GCST005075		background	brca1 mutation carriers
GCST005075		stratified	BRCA1 positive, ER negative
GCST005076		background	er-negative
GCST005076		stratified	ER-negative
GCST005077		background	er-negative
GCST005077		stratified	ER-negative
GCST005079		phenotype	orofacial clefts (cleft lip vs. cleft lip and palate)
GCST005080		phenotype	pr interval
GCST005081		response, phenotype	lithium, bipolar disorder or schizophrenia
GCST005082		response, phenotype	lithium, bipolar disorder or schizophrenia
GCST005083		phenotype	putamen volume
GCST005085		phenotype	visceral adipose tissue
GCST005086		interaction	sex
GCST005087		phenotype	visceral adipose tissue, bmi adjusted
GCST005088		interaction, background	sex, bmi adjusted
GCST005089		phenotype	visceral:subcutaneous adipose tissue ratio
GCST005090		interaction, phenotype	sex,  visceral:subcutaneous adipose tissue ratio
GCST005091		phenotype	subcutaneous adipose tissue
GCST005092		interaction, phenotype	sex, subcutaneous adipose tissue
GCST005093		phenotype	a* coordinate
GCST005094		phenotype	l* coordinate
GCST005095		phenotype	heterochromicity
GCST005096		phenotype	b* coordinate
GCST005106		phenotype	survival time
GCST005109		biomarker	progranulin
GCST005110		background	childhood cancer survivors treated with less than 10 gray radiotherapy
GCST005110		treatment side effect	childhood cancer - radiation (breast cancer)
GCST005111		background	childhood cancer survivors
GCST005111		treatment side effect	childhood cancer - radiation (breast cancer)
GCST005112		background	childhood cancer survivors treated with more than 10 gray radiotherapy
GCST005112		treatment side effect	childhood cancer - radiotherapy (breast cancer)
GCST005114		pleiotropy	osteoporosis
GCST005115		response	mepolizumab
GCST005117		phenotype	activities of daily living score
GCST005118		phenotype	mid-arm muscle circumference
GCST005119		phenotype	calf circumference
GCST005120		phenotype	four meter walk test score
GCST005121		phenotype	short physical performance battery score
GCST005124		biomarker	magnesium/creatinine ratio in urine
GCST005125		biomarker	magnesium
GCST005126		phenotype	fractional excretion of magnesium
GCST005127		phenotype	maximal voluntary ventilation
GCST005129		phenotype	maximal midexpiratory flow rate
GCST005130		phenotype	fev1/fec ratio
GCST005131		phenotype	fvc
GCST005132		phenotype	fev1
GCST005134		response, phenotype	sotalol, t wave peak and end interval change
GCST005135		response, phenotype	solatol, t wave maximal amplitude change
GCST005136		response, phenotype	sotalol, ventricular repolarization changes pc2
GCST005137		response, phenotype	sotalol, t wave morphology notching
GCST005138		response, phenotype	sotalol, ventricular repolarization changes pc13
GCST005139		response, phenotype	sotalol, ventricular repolarization changes pc1
GCST005140		response, phenotype	solatol, ventricular repolarization duration change
GCST005141		phenotype	cognitive ability
GCST005142		phenotype	cognitive ability
GCST005144		background, biomarker	kidney transplantation, tacrolimus trough concentration
GCST005145		biomarker	glycated hemoglobin levels
GCST005147		phenotype	colonoscopy-negative controls vs population controls
GCST005148		stratified	advanced colorectal adenomas
GCST005149		stratified	advanced colorectal adenomas
GCST005150		stratified	advanced colorectal adenomas
GCST005151		phenotype	advanced colorectal adenoma
GCST005151		stratified	advanced
GCST005152		stratified	advanced colorectal adenomas
GCST005153		phenotype	advanced colorectal adenoma
GCST005153		stratified	advanced
GCST005154		phenotype	pregnancy induced alloimmunization (hla class i and ii)
GCST005155		phenotype	pregnancy induced alloimmunization
GCST005156		phenotype	pregnancy induced alloimmunization (hla class )
GCST005157		phenotype	pregnancy induced alloimmunization (hla class ii)
GCST005158		phenotype	osteosarcoma
GCST005158		survival	
GCST005159		phenotype	insulin
GCST005160		phenotype	insulin
GCST005161		phenotype	insulin
GCST005162		biomarker	glucagon
GCST005163		biomarker	glucagon
GCST005164		biomarker	glp-1
GCST005165		biomarker	glp-1
GCST005166		biomarker	gip
GCST005167		biomarker	gip
GCST005171		phenotype	qt interval
GCST005173		background, phenotype	coronary artery calcified atherosclerotic plaque (130 hu threshold) in type 2 diabetes
GCST005174		background, phenotype	coronary artery calcified atherosclerotic plaque score in type 2 diabetes
GCST005175		background, phenotype	coronary artery calcified atherosclerotic plaque (90 or 130 hu threshold) in type 2 diabetes
GCST005176		response, biomarker	rubella vaccine, interleukin-6
GCST005177		response, biomarker	rubella vaccine, interferon gamma
GCST005178		phenotype	insulin sensitivity
GCST005179		phenotype	homeostasis model assessment of insulin resistance
GCST005180		phenotype	homeostasis model assessment of beta-cell function
GCST005182		phenotype	intima media thickness
GCST005183		phenotype	intima media thickness
GCST005184		background, phenotype	hiv infection, intimal medial thickness
GCST005185		biomarker	fasting blood insulin
GCST005187		biomarker	mmp8 (matrix metalloproteinase 8)
GCST005191		phenotype	hair shape
GCST005192		phenotype	lobe attachment (rater-scored or self-reported)
GCST005193		phenotype	lobe attachment (rater scored)
GCST005197		biomarker	antiepileptic drug
GCST005198		biomarker	carbamazepine
GCST005199		side effect	lamotrignine
GCST005200		biomarker	phenytoin
GCST005201		interaction, phenotype	potassium, pulse pressure
GCST005202		interaction	dietary potassium intake
GCST005203		interaction, phenotype	dietary potassium intake, mean arterial pressure
GCST005204		interaction	dietary potassium intake
GCST005205		biomarker	nt-probnp
GCST005206		biomarker	b-type natriuretic peptide
GCST005207		biomarker	midregional pro atrial natriuretic peptide
GCST005208		biomarker	b-type natriuretic peptide to n-terminal pro b-type natriuretic peptide ratio
GCST005210		phenotype	mixed cellularity
GCST005211		background	nodular sclerosis
GCST005211		stratified	nodular sclerosis
GCST005213		phenotype	childhood onset
GCST005214		side effect, phenotype	combined chemotherapy for acute lymphoblastic leukemia, spine bone mineral density
GCST005215		phenotype	insulin response
GCST005216		phenotype	insulin response, insulin sensitivity adjusted
GCST005217		phenotype	insulin response, bmi adjusted
GCST005218		phenotype	insulin response
GCST005219		biomarker	insulin
GCST005220		biomarker	insulin
GCST005221		phenotype	insulin sensitivity
GCST005223		phenotype	insulin response
GCST005224		phenotype	femoral neck bone mineral density
GCST005225		phenotype	lumbar spine bone mineral density
GCST005226		phenotype	lumbar spine bone mineral density
GCST005227		phenotype	lumbar spine bone mineral density
GCST005228		phenotype	femoral neck bone mineral density
GCST005229		phenotype	femoral neck bone mineral density
GCST005230		phenotype	recurrent
GCST005234		phenotype	lean body mass
GCST005236		background	trauma-exposed individuals
GCST005237		phenotype	mood instability
GCST005238		phenotype	mood instability
GCST005239		background	trauma-exposed individuals, amygdala volume
GCST005240		background	trauma-exposed individuals, caudate volume
GCST005241		background	trauma-exposed individuals, nucleus accumbens volume
GCST005242		phenotype	trauma, pallidum volume
GCST005243		background	trauma-exposed individuals, hippocampal volume
GCST005244		background	trauma-exposed individuals, putamen volume
GCST005245		background	trauma-exposed individuals, thalamus volume
GCST005248		phenotype	delayed reward discounting
GCST005266		pleiotropy, phenotype	schizophrenia
GCST005267		pleiotropy	schizophrenia
GCST005268		phenotype	nasal polyps
GCST005269		biomarker	luteinizing hormone
GCST005270		biomarker	follicle stimulating hormone
GCST005270		biomarker	in polycystic ovary syndrome
GCST005271		biomarker	in polycystic ovary syndrome
GCST005271		biomarker	sex hormone-binding globulin
GCST005272		biomarker	in polycystic ovary syndrome
GCST005272		biomarker	testosterone
GCST005274		biomarker	dehydroepiandrosterone sulphate
GCST005277		phenotype	lumbar spondylosis (kellgren-lawrence grade)
GCST005278		phenotype	lumbar spondylosis (presence and severity of osteophytes)
GCST005279		phenotype	lumbar spondylosis (disc space narrowing)
GCST005286		background, phenotype	trauma-exposed individuals, lateral ventricle volume
GCST005287		phenotype	extrinsic epigenetic age acceleration
GCST005288		phenotype	extrinsic epigenetic age acceleration
GCST005307		phenotype	brunt stage
GCST005309		associated disease	Nonalcoholic steatohepatitis
GCST005309		background	nonalcoholic steatohepatitis
GCST005310		phenotype	brunt grade
GCST005311		phenotype	hepatocyte fat droplet content
GCST005312		phenotype	age at onset
GCST005313		phenotype	spontaneous
GCST005314		phenotype	offspring birth weight
GCST005315		background	childhood
GCST005315		stratified	childhood
GCST005317		pleiotropy	lipids
GCST005318		response	methylphenidate
GCST005319		pleiotropy	immune-mediated diseases
GCST005320		pleiotropy	immune-mediated diseases
GCST005321		pleiotropy	immune-mediated diseases
GCST005322		pleiotropy, phenotype	corticobasal degeneration and immune-mediated diseases (pleiotropy)
GCST005325		phenotype	subjective well-being (mtag)
GCST005328		phenotype	subjective well-being
GCST005329		phenotype	cups of coffee per day
GCST005330		phenotype	cups of coffee per day
GCST005331		biomarker	tryptophan (csf)
GCST005332		phenotype	autoantibody against topoisomerase
GCST005333		response	autoantibody against centromere
GCST005334		phenotype	cutaneous
GCST005335		pleiotropy	cutaneous
GCST005342		drug metabolism	plasma kynurenine levels in major depressive disorder
GCST005343		drug metabolism	plasma kynurenine to tryptophan ratio in major depressive disorder
GCST005344		background	age 15-30
GCST005345		background	age 0-15
GCST005346		background	age 30-45
GCST005347		phenotype	pseudoexfoliation syndrome
GCST005349		background	age over 60
GCST005350		background	age 45-60
GCST005351		drug metabolism	carboplatin disposition in epthelial ovarian cancer
GCST005351		drug metabolism	carboplatin levels in epithelial ovarian cancer
GCST005352		drug metabolism	paclitaxel disposition in epithelial ovarian cancer
GCST005352		drug metabolism	paclitaxel levels in epithelial ovarian cancer
GCST005353		response, biomarker	glp-1-stimulated insulin response, glp-1 stimulated
GCST005356		phenotype	severe
GCST005357		background	sickle cell variant rs334 adjusted
GCST005358		phenotype	progression
GCST005359		phenotype	disease progression
GCST005360		phenotype	progression
GCST005361		interaction	sex
GCST005363		phenotype	sex
GCST005364		response, background	opioid requirements, laparoscopic-assisted colectomy
GCST005365		biomarker	c3d:c3 ratio (systemic complement activation)
GCST005366		interaction	vitamin d, vitamin d dietary intake
GCST005367		biomarker	vitamin d
GCST005368		phenotype	opioid dependence
GCST005369		biomarker	uric acid
GCST005387		background	bipolar disorder
GCST005389		phenotype	tooth agenesis
GCST005390		phenotype	tooth agenesis (mandibular second premolars)
GCST005391		phenotype	tooth agenesis (maxillary lateral incisors)
GCST005392		phenotype	tooth agenesis (maxillary second premolars)
GCST005406		phenotype	optic cup area
GCST005408		phenotype	intra-ocular pressure
GCST005409		phenotype	cup-to-disc ratio
GCST005410		phenotype	optic disc area
GCST005411		biomarker	thrombin activatable fibrinolysis inhibitor activation peptide
GCST005412		biomarker	carboxypeptidase b2
GCST005415		phenotype	self-reported risk-taking behaviour
GCST005416		phenotype	airflow obstruction
GCST005418		phenotype	fev1
GCST005419		phenotype	fev1/fec ratio
GCST005426		background	renal transplantation
GCST005427		background	kidney transplantation (recipient effect)
GCST005428		background	kidney transplantation (recipient effect)
GCST005429		background	kidney transplantation (donor effect)
GCST005430		interaction, background, phenotype	donor-recipient, kidney transplantation, graft survival time
GCST005431		background, phenotype	kidney transplantation, acute draft rejection (recipient effect)
GCST005432		background, phenotype	kidney transplantation, acute draft rejection (donor effect)
GCST005433		interaction, background, phenotype	donor-recipient, kidney transplantation, acute draft rejection
GCST005435		background, biomarker	stimulated c-peptide levels in type i diabetes
GCST005436		background, biomarker	c-peptide levels in type i diabetes
GCST005437		background, biomarker	random c-peptide levels in type i diabetes
GCST005438		background, biomarker	fasting c-peptide levels in type i diabetes
GCST005439		response	alcohol consumption
GCST005440		phenotype	symptom count
GCST005441		phenotype	max-drinks
GCST005442		biomarker	apolipoprotein b levels
GCST005443		biomarker	apolipoprotein a1, apolipoprotein b levels
GCST005444		biomarker	esterified cholesterol
GCST005445		biomarker	free cholesterol levels
GCST005446		biomarker	total cholesterol levels in hdl
GCST005447		biomarker	total cholesterol levels in ldl
GCST005448		biomarker	total cholesterol
GCST005449		biomarker	triglyceride
GCST005450		biomarker	very low density lipoprotein cholesterol levels
GCST005451		biomarker	phospholipid levels in very large vldl
GCST005452		background, biomarker	triglyceride levels in very large vldl
GCST005453		biomarker	cholesterol ester levels in large vldl
GCST005454		biomarker	phospholipid levels in large vldl
GCST005455		biomarker	mean diameter of hdl particles
GCST005456		biomarker	mean diameter of ldl particles
GCST005457		phenotype	vldl mean diameter
GCST005458		biomarker	total cholesterol levels in large vldl
GCST005459		biomarker	free cholesterol levels in large vldl
GCST005460		background, biomarker	triglyceride levels in large vldl
GCST005461		biomarker	cholesterol ester levels in large vldl
GCST005462		biomarker	vldl medium
GCST005463		biomarker	phospholipid levels in medium vldl
GCST005464		biomarker	total cholesterol levels in medium vldl
GCST005465		biomarker	cholesterol ester levels in medium vldl
GCST005466		biomarker	free cholesterol levels in medium vldl
GCST005467		background, biomarker	triglyceride levels in medium vldl
GCST005468		biomarker	vldl small
GCST005469		biomarker	phospholipid levels in small vldl
GCST005470		biomarker	total cholesterol levels in small vldl
GCST005471		biomarker	free cholesterol levels in small vldl
GCST005472		background, biomarker	triglyceride levels in small vldl
GCST005473		biomarker	vldl very small
GCST005474		biomarker	phospholipid levels in very small vldl
GCST005475		background, biomarker	triglyceride levels in very small vldl
GCST005476		biomarker	idl
GCST005477		biomarker	phospholipid levels in idl
GCST005478		biomarker	idl
GCST005479		biomarker	free cholesterol levels in idl
GCST005480		background, biomarker	triglyceride levels in idl
GCST005481		biomarker	large ldl particle concentration
GCST005482		biomarker	phospholipid levels in large ldl
GCST005483		biomarker	total cholesterol levels in large ldl
GCST005484		biomarker	esterified cholesterol in large ldl
GCST005485		biomarker	free cholesterol levels in large ldl
GCST005486		biomarker	medium ldl particle concentration
GCST005487		biomarker	phospholipid levels in medium ldl
GCST005488		biomarker	total cholesterol levels in medium ldl
GCST005489		biomarker	esterified cholesterol in medium ldl
GCST005490		biomarker	medium ldl particle concentration
GCST005491		biomarker	total cholesterol levels in small ldl
GCST005492		biomarker	very large hdl particle concentration
GCST005493		biomarker	phospholipid levels in very large hdl
GCST005494		biomarker	total cholesterol levels in very large hdl
GCST005495		biomarker	esterified cholesterol in very large hdl
GCST005496		biomarker	free cholesterol levels in very large hdl
GCST005497		biomarker	large hdl particle concentration
GCST005498		background, biomarker	triglyceride levels in very large hdl
GCST005499		biomarker	phospholipid levels in large hdl
GCST005500		biomarker	total cholesterol levels in large hdl
GCST005501		biomarker	esterified cholesterol in very large hdl
GCST005502		biomarker	free cholesterol levels in large hdl
GCST005503		biomarker	medium hdl particle concentration
GCST005504		biomarker	phospholipid levels in medium hdl
GCST005505		biomarker	total cholesterol levels in medium hdl
GCST005506		biomarker	esterified cholesterol in medium hdl
GCST005507		biomarker	free cholesterol levels in medium hdl
GCST005508		biomarker	small hdl particle concentration
GCST005509		background, biomarker	triglyceride levels in small hdl
GCST005510		phenotype	chylomicron and largest vldl particle concentration
GCST005511		biomarker	phospholipid levels in chylomicrons and largest vldl
GCST005512		phenotype, biomarker	chylomicrons and largest vldl, triglyceride
GCST005513		biomarker	apolipoprotein a1 levels
GCST005514		pleiotropy	neurofibrillary tangles or cerebral amyloid angiopathy
GCST005515		pleiotropy	cerebral amyloid angiopathy
GCST005516		pleiotropy	neurofibrillary tangles (pleiotropy)
GCST005517		pleiotropy	neurofibrillary tangles
GCST005518		background	childhood cancer survivors
GCST005518		treatment side effect	childhood cancer - gonadotoxic therapy (premature menopause)
GCST005519		response, phenotype	beta blockers, heart rate
GCST005520		response, phenotype	beta blockers (atenolol add-on therapy), heart rate
GCST005521		response, phenotype	beta blockers (atenolol monotherapy), heart rate
GCST005522		phenotype	narcolepsy with cataplexy
GCST005524		phenotype	graves disease or hashimoto's thyroiditis
GCST005528		phenotype	oligoarticular or rheumatoid factor-negative polyarticular
GCST005530		interaction	snp x snp
GCST005533		phenotype	cutaneous
GCST005535		pleiotropy	cutaneous
GCST005537		phenotype	ankylosing spondylitis, crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis
GCST005540		phenotype	lofgren's syndrome
GCST005541		phenotype	lofgren's syndrome vs non-lofgren's syndrome
GCST005542		phenotype	non-lofgren's syndrome without extrapulmonary manifestations
GCST005543		phenotype	non-lofgren's syndrome
GCST005544		background	femoral neck
GCST005545		phenotype	spine bmd
GCST005546		phenotype	forearm
GCST005549		phenotype	late onset
GCST005550		background	trauma-exposed individuals
GCST005551		phenotype	autoantibody against topoisomerase
GCST005552		response	autoantibody against centromere
GCST005553		pleiotropy	cutaneous
GCST005555		phenotype	cutaneous
GCST005556		phenotype	pollinosis
GCST005557		biomarker	uric acid
GCST005558		phenotype	plantar fasciitis or fibromatosis
GCST005559		phenotype	virologic severity, hsv2
GCST005560		phenotype	age at onset
GCST005563		pleiotropy	immune-mediated diseases
GCST005567		phenotype	acpa-negative
GCST005568		phenotype	acpa-positive
GCST005570		associated disease	hepatitis B
GCST005570		background	hepatitis b infection
GCST005571		phenotype	hip or knee, with total joint replacement
GCST005572		phenotype	with total joint replacement
GCST005573		phenotype	hip or knee
GCST005574		phenotype	with total joint replacement
GCST005577		side effect, phenotype	thiazide diuretic for hypertension, glucose change
GCST005586		background, biomarker	breast milk (maternal genotype effect), fatty acid levels
GCST005587		background, biomarker	breast milk (infant genotype effect), fatty acid levels
GCST005589		side effect	proton beam irradiation treatment of choroidal melanoma
GCST005590		phenotype	non-typhoidal
GCST005606		response	hepatitis b vaccine
GCST005626		phenotype	extremely high intelligence
GCST005646		side effect, biomarker	hydrochlorothiazide in hypertension, serum uric acid levels
GCST005648		biomarker	serum metabolite concentrations
GCST005649		biomarker	urinary metabolite ratios
GCST005650		biomarker	serum metabolite ratios
GCST005651		biomarker	urinary metabolite concentrations
GCST005652		interaction	maternal periconceptional vitamin use
