Disease_Trait	MeshId	MeshTerm
immune response to anthrax vaccine	D020127	Recovery of Function
immune response to measles-mumps-rubella vaccine	D020127	Recovery of Function
immune response to measles vaccine (measles-induced ifn gamma)	D020127	Recovery of Function
immune response to measles vaccine (measles-specific neutralising antibody titre)	D020127	Recovery of Function
immune response to smallpox vaccine (il-6)	D020127	Recovery of Function
immune thrombocytopenia	D016553	Purpura, Thrombocytopenic, Idiopathic
immunogenicity to anti-tnf therapy in crohn's disease	D020127	Recovery of Function
immunoglobulin a	D007070	Immunoglobulin A
immunoglobulin a vasculitis	D011695	Purpura, Schoenlein-Henoch
immunoglobulin g index levels in multiple sclerosis	D009103	Multiple Sclerosis
immunoglobulin g measurement	D042643	Vascular Endothelial Growth Factor D
immunoglobulin light (al) amyloidosis (serum ig kappa profile)	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin light chain (al) amyloidosis	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin light chain (al) amyloidosis (heart and kidney involvement)	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin light chain (al) amyloidosis (heart involvement)	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin light chain (al) amyloidosis (kidney involvement)	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin light chain (al) amyloidosis (liver involvement)	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin light chain (al) amyloidosis (serum igg profile)	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin light chain (al) amyloidosis (serum ig lambda profile)	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin light chain (al) amyloidosis (serum ig light chain only lambda based profile)	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin light chain (al) amyloidosis (serum ig light chain only lambda/kappa based profile)	D000075363	Immunoglobulin Light-chain Amyloidosis
immunoglobulin m against phosphorylcholine (igm anti-pc) levels	D053306	Hyper-IgM Immunodeficiency Syndrome
immunoglobulin measurement (zinc sulfate turbidity test)	D017099	IgG Deficiency
impaired insulin sensitivity in response to n-3 pufa supplementation	D009765	Obesity
impulsivity (attentional)	D007175	Impulsive Behavior
impulsivity	D007175	Impulsive Behavior
impulsivity (motor)	D007175	Impulsive Behavior
impulsivity (non-planning)	D007175	Impulsive Behavior
inactive tyrosine-protein kinase transmembrane receptor ror1 levels	D042643	Vascular Endothelial Growth Factor D
inattentive symptoms	D019958	Attention Deficit and Disruptive Behavior Disorders
incident atrial fibrillation	D001281	Atrial Fibrillation
incident chronic kidney disease	D051436	Renal Insufficiency, Chronic
incident coronary heart disease	D003327	Coronary Disease
incident myocardial infarction	D009203	Myocardial Infarction
incremental insulin	D040641	Quantitative Trait Loci
indoleacetate levels	D015415	Biomarkers
infant and child death in continuous marriage (number of children died <5 years)	D018873	Pregnancy Rate
infant and child death in continuous marriage (proportion of children died <5 years)	D018873	Pregnancy Rate
infant and child death (number of children died <5 years)	D018873	Pregnancy Rate
infant and child death (proportion of children died <5 years)	D018873	Pregnancy Rate
infant, child and juvenile death in continuous marriage (number of children died <15 years)	D018873	Pregnancy Rate
infant, child and juvenile death in continuous marriage (proportion of children died <15 years)	D018873	Pregnancy Rate
infant, child and juvenile death (number of children died <15 years)	D018873	Pregnancy Rate
infant, child and juvenile death (proportion of children died <15 years)	D018873	Pregnancy Rate
infant death in continuous marriage (number of children died <1 year)	D018873	Pregnancy Rate
infant death in continuous marriage (proportion of children died <1 year)	D018873	Pregnancy Rate
infant death (number of children died <1 year)	D066088	Infant Death
infant death (proportion of children died <1 year)	D066088	Infant Death
infant head circumference (mtag)	D002508	Cephalometry
infantile hypertrophic pyloric stenosis	D046248	Pyloric Stenosis, Hypertrophic
infant length	D001827	Body Height
infant survival in continuous marriage (number of children surviving at 1 year)	D066088	Infant Death
infant survival in continuous marriage (proportion of children surviving at 1 year)	D066088	Infant Death
infant survival (number of children surviving at 1 year)	D066088	Infant Death
infant survival (proportion of children surviving at 1 year)	D066088	Infant Death
infection persistence (>18 months) in genital human papillomavirus 16 infection	D030361	Papillomavirus Infections
infectious disease (hospital admission)	D003141	Communicable Diseases
infective endocarditis in staphylococcus aureus infection	D004697	Endocarditis, Bacterial
inferior parietal cortex volume	D009461	Neurologic Manifestations
inferior temporal gyrus volume	D009461	Neurologic Manifestations
inflammatory biomarkers	D007249	Inflammation
inflammatory biomarkers in kawasaki disease	D009080	Mucocutaneous Lymph Node Syndrome
inflammatory biomarkers (multivariate analysis)	D007249	Inflammation
inflammatory bowel disease	D015212	Inflammatory Bowel Diseases
inflammatory bowel disease (early onset)	D015212	Inflammatory Bowel Diseases
inflammatory skin disease	D003876	Dermatitis, Atopic
infliximab-induced mucosal healing in crohn's disease	D020127	Recovery of Function
influenza a (h1n1) infection	D007251	Influenza, Human
influenza a (h1n1) severity	D007251	Influenza, Human
influenza	D007251	Influenza, Human
influenza (severity)	D007251	Influenza, Human
information processing speed	D003071	Cognition
information processing speed (symbol digit substitution)	D003071	Cognition
inguinal hernia	D006552	Hernia, Inguinal
inhibin b levels	C422364	inhibin B
inhibitory control	D007266	Inhibition, Psychological
initial alcohol sensitivity	D000428	Alcohol Drinking
initial pursuit acceleration	D012559	Schizophrenia
initial pursuit acceleration in psychotic disorders	D012559	Schizophrenia
inosine levels	D015415	Biomarkers
insomnia (caffeine-induced)	D007319	Sleep Initiation and Maintenance Disorders
insomnia complaints (continuous)	D007319	Sleep Initiation and Maintenance Disorders
insomnia complaints	D007319	Sleep Initiation and Maintenance Disorders
insomnia complaints (dichotomous)	D007319	Sleep Initiation and Maintenance Disorders
insomnia complaints (sex interaction)	D007319	Sleep Initiation and Maintenance Disorders
insomnia	D007319	Sleep Initiation and Maintenance Disorders
insomnia symptoms (never/rarely vs. sometimes/usually)	D007319	Sleep Initiation and Maintenance Disorders
insomnia symptoms (never/rarely vs. usually)	D007319	Sleep Initiation and Maintenance Disorders
insular cortex volume	D009461	Neurologic Manifestations
insulin-degrading enzyme measurement	D042643	Vascular Endothelial Growth Factor D
insulin disposition index (bmi adjusted)	D007333	Insulin Resistance
insulin disposition index	D007333	Insulin Resistance
insulin levels adjusted for bmi	D003924	Diabetes Mellitus, Type 2
insulin levels	D040641	Quantitative Trait Loci
insulin levels in response to oral glucose tolerance test (120 minutes)	D003924	Diabetes Mellitus, Type 2
insulin levels in response to oral glucose tolerance test (30 minutes)	D003924	Diabetes Mellitus, Type 2
insulin levels in response to oral glucose tolerance test (fasting)	D003924	Diabetes Mellitus, Type 2
insulin-like growth factor 1 levels	D040641	Quantitative Trait Loci
insulin-like growth factor-binding protein 1 levels	D042643	Vascular Endothelial Growth Factor D
insulin-like growth factor-binding protein 2 levels	D042643	Vascular Endothelial Growth Factor D
insulin-like growth factor-binding protein 7 levels	D042643	Vascular Endothelial Growth Factor D
insulin-like growth factor-binding protein-like 1 levels	D042643	Vascular Endothelial Growth Factor D
insulin-like growth factors	D049109	Cell Proliferation
insulinogenic index	D044882	Glucose Metabolism Disorders
insulinoma-associated antigen 2 autoantibody levels in type 1 diabetes	D003922	Diabetes Mellitus, Type 1
insulin-related traits	D007333	Insulin Resistance
insulin-related traits (multivariate analysis)	D040641	Quantitative Trait Loci
insulin resistance	D007333	Insulin Resistance
insulin resistance/response	D007333	Insulin Resistance
insulin secretion rate (bmi adjusted)	D044882	Glucose Metabolism Disorders
insulin secretion rate	D007333	Insulin Resistance
insulin sensitivity index	D007333	Insulin Resistance
intake of sweets	D013549	Sweetening Agents
intake of total sugars	D013549	Sweetening Agents
integrin beta-2 levels	D042643	Vascular Endothelial Growth Factor D
integrin beta-7 levels	D042643	Vascular Endothelial Growth Factor D
intelligence (childhood)	D007360	Intelligence
intelligence	D007360	Intelligence
intelligence (mtag)	D007360	Intelligence
inter-alpha-trypsin inhibitor heavy chain h3 measurement	D042643	Vascular Endothelial Growth Factor D
inter-alpha-trypsin inhibitor heavy chain h4 measurement	D042643	Vascular Endothelial Growth Factor D
intercellular adhesion molecule 1 (red blood cell fatty acid level interaction)	D005227	Fatty Acids
intercellular adhesion molecule 2 levels	D042643	Vascular Endothelial Growth Factor D
interferon alpha levels in systemic lupus erythematosus	D008180	Lupus Erythematosus, Systemic
interferon gamma-induced protein 10 levels	D015415	Biomarkers
interferon gamma levels	D015415	Biomarkers
interleukin-10 levels	D015415	Biomarkers
interleukin-12p70 levels	D015415	Biomarkers
interleukin 12 receptor subunit beta-1 levels	D015415	Biomarkers
interleukin-12 subunit b levels	D015415	Biomarkers
interleukin-13 levels	D015415	Biomarkers
interleukin 15 receptor subunit alpha levels	D015415	Biomarkers
interleukin-16 levels	D015415	Biomarkers
interleukin-17d levels	D064094	Interleukin-27
interleukin-17 levels	D015415	Biomarkers
interleukin-17 receptor a levels	D053722	Receptors, Interleukin-17
interleukin-17 receptor a measurement	D015415	Biomarkers
interleukin 17 receptor b levels	D015415	Biomarkers
interleukin-18-binding protein levels	D042643	Vascular Endothelial Growth Factor D
interleukin-18 levels	D015415	Biomarkers
interleukin-18 receptor 1 levels	D015415	Biomarkers
interleukin-1-alpha levels	D036341	Intercellular Signaling Peptides and Proteins
interleukin-1-beta levels	D015415	Biomarkers
interleukin-1 receptor accessory protein measurement	D015415	Biomarkers
interleukin-1-receptor antagonist levels	D015415	Biomarkers
interleukin-1 receptor antagonist protein measurement	D015415	Biomarkers
interleukin-1 receptor-like 1 measurement	D015415	Biomarkers
interleukin-1 receptor-like 2 levels	D042643	Vascular Endothelial Growth Factor D
interleukin-1 receptor-like 2 measurement	D015415	Biomarkers
interleukin-1 receptor type 1 levels	D042643	Vascular Endothelial Growth Factor D
interleukin-1 receptor type 1 measurement	D042643	Vascular Endothelial Growth Factor D
interleukin-1 receptor type 2 levels	D042643	Vascular Endothelial Growth Factor D
interleukin-1 receptor type 2 measurement	D042643	Vascular Endothelial Growth Factor D
interleukin-27 levels	D064094	Interleukin-27
interleukin-2 levels	D015415	Biomarkers
interleukin-2 receptor antagonist levels	D015415	Biomarkers
interleukin-2 receptor subunit alpha levels	D042643	Vascular Endothelial Growth Factor D
interleukin-2 receptor subunit alpha measurement	D015415	Biomarkers
interleukin-2 receptor subunit beta measurement	D042643	Vascular Endothelial Growth Factor D
interleukin-4 levels	D015415	Biomarkers
interleukin-4 receptor subunit alpha levels	D042643	Vascular Endothelial Growth Factor D
interleukin-5 levels	D015415	Biomarkers
interleukin-6 levels	D015415	Biomarkers
interleukin-6 levels in hiv infection	D015415	Biomarkers
interleukin-6 receptor subunit alpha levels	D015415	Biomarkers
interleukin-6 receptor subunit alpha measurement	D015415	Biomarkers
interleukin-6 receptor subunit beta measurement	D015415	Biomarkers
interleukin-6 (red blood cell fatty acid level interaction)	D005227	Fatty Acids
interleukin-7 levels	D015415	Biomarkers
interleukin-7 receptor subunit alpha measurement	D015415	Biomarkers
interleukin-8 levels	D015415	Biomarkers
interleukin-9 levels	D015415	Biomarkers
intermediate age-related macular degeneration	D008268	Macular Degeneration
international normalisation ratio	D011517	Prothrombin Time
interorbital distance	D019465	Craniofacial Abnormalities
interstitial lung abnormalities	D017563	Lung Diseases, Interstitial
interstitial lung disease	D017563	Lung Diseases, Interstitial
interstitial lung diseases in rheumatoid arthritis	D017563	Lung Diseases, Interstitial
intertrochanteric region size	D010384	Pelvic Bones
interventricular septum thickness	D002320	Cardiovascular Physiological Phenomena
intracerebral hemorrhage	D002543	Cerebral Hemorrhage
intracerebral hemorrhage (mtag)	D002543	Cerebral Hemorrhage
intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	D017545	Aortic Aneurysm, Thoracic
intracranial aneurysm	D002532	Intracranial Aneurysm
intracranial haemorrhage in renal transplantation (donors)	D002543	Cerebral Hemorrhage
intracranial volume	D019586	Intracranial Hypertension
intra-individual response time variability (response selection)	D011930	Reaction Time
intra-individual response time variability (selective attention)	D011930	Reaction Time
intralaminar thalamic nuclei volume	D001921	Brain
intraocular pressure and central corneal thickness (multi-trait analysis)	D005901	Glaucoma
intraocular pressure (corneal compensated)	D007429	Intraocular Pressure
intraocular pressure	D007429	Intraocular Pressure
intraocular pressure (goldman correlated)	D007429	Intraocular Pressure
intrinsic epigenetic age acceleration	D000375	Aging
invasive breast cancer	D001943	Breast Neoplasms
invasive epithelial ovarian cancer	D000077216	Carcinoma, Ovarian Epithelial
iris characteristics	D007499	Iris Diseases
iris color (a* coordinate)	D005127	Eye Color
iris color (b* coordinate)	D005127	Eye Color
iris color	D005127	Eye Color
iris color (l* coordinate)	D005127	Eye Color
iris heterochromicity	D005127	Eye Color
iron deficiency	D000740	Anemia
iron levels	D018798	Anemia, Iron-Deficiency
iron level traits (multivariate analysis)	D019189	Iron Metabolism Disorders
iron status biomarkers	D018798	Anemia, Iron-Deficiency
iron status biomarkers (ferritin levels)	D019189	Iron Metabolism Disorders
iron status biomarkers (iron levels)	D018798	Anemia, Iron-Deficiency
iron status biomarkers (total iron binding capacity)	D019189	Iron Metabolism Disorders
iron status biomarkers (transferrin levels)	D018798	Anemia, Iron-Deficiency
iron status biomarkers (transferrin saturation)	D018798	Anemia, Iron-Deficiency
irritable bowel syndrome	D043183	Irritable Bowel Syndrome
irritable mood	D007508	Irritable Mood
ischemic heart disease	D017202	Myocardial Ischemia
ischemic heart disease in rheumatoid arthritis	D001172	Arthritis, Rheumatoid
ischemic stroke (cardioembolic)	D004617	Embolism
ischemic stroke	D000083242	Ischemic Stroke
ischemic stroke in diabetes mellitus	D000083242	Ischemic Stroke
ischemic stroke in dyslipidemia	D000083242	Ischemic Stroke
ischemic stroke in hypertension	D000083242	Ischemic Stroke
ischemic stroke (large artery atherosclerosis)	D020521	Stroke
ischemic stroke (non-cardioembolic)	D000083242	Ischemic Stroke
ischemic stroke (small artery occlusion)	D001157	Arterial Occlusive Diseases
ischemic stroke (small-vessel)	D020521	Stroke
ischemic stroke (undetermined subtype)	D020521	Stroke
isobutyrylcarnitine (c4) levels	D015415	Biomarkers
isocitrate levels	D015415	Biomarkers
isoleucine levels	D007532	Isoleucine
isovalerate (i5:0) levels	D015415	Biomarkers
isovolumetric relaxation time	D006331	Heart Diseases
isthmus-cingulate cortex volume	D009461	Neurologic Manifestations
itch intensity from mosquito bite adjusted by bite size	D007299	Insect Bites and Stings
itch intensity from mosquito bite	D007299	Insect Bites and Stings
jaw morphology	D019465	Craniofacial Abnormalities
job-related exhaustion	D005221	Fatigue
job-related exhaustion in shift workers	D005221	Fatigue
joint damage in rheumatoid arthritis	D001172	Arthritis, Rheumatoid
joint damage progression in acpa-negative rheumatoid arthritis	D001172	Arthritis, Rheumatoid
joint damage progression in acpa-positive rheumatoid arthritis	D001172	Arthritis, Rheumatoid
joint destruction and growth retardation	D057767	Kashin-Beck Disease
joint mobility (beighton score)	D007592	Joint Diseases
jt interval	D006331	Heart Diseases
jt interval (sulfonylurea treatment interaction)	D006331	Heart Diseases
junctional adhesion molecule a levels	D062745	Junctional Adhesion Molecule A
juvenile absence epilepsy	D004832	Epilepsy, Absence
juvenile death in continuous marriage (number of children surviving at 5 years but died <15 years)	D018873	Pregnancy Rate
juvenile death in continuous marriage (proportion of children surviving at 5 years but died <15 years)	D018873	Pregnancy Rate
juvenile death (number of children surviving at 5 years but died <15 years)	D018873	Pregnancy Rate
juvenile death (proportion of children surviving at 5 years but died <15 years)	D018873	Pregnancy Rate
juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	D001171	Arthritis, Juvenile
juvenile myoclonic epilepsy	D020190	Myoclonic Epilepsy, Juvenile
juvenile osteochondritis dissecans	D010008	Osteochondritis Dissecans
juvenile survival in continuous marriage (number of children surviving at 15 years)	D003643	Death
juvenile survival in continuous marriage (proportion of children surviving at 15 years)	D003643	Death
juvenile survival (number of children surviving at 15 years)	D003643	Death
juvenile survival (proportion of children surviving at 15 years)	D003643	Death
kallikrein-10 levels	D042643	Vascular Endothelial Growth Factor D
kallikrein-11 levels	D015415	Biomarkers
kallikrein-6 levels	D042643	Vascular Endothelial Growth Factor D
kanno antigen negativity	D007839	Functional Laterality
kashin-beck disease	D057767	Kashin-Beck Disease
kawasaki disease	D009080	Mucocutaneous Lymph Node Syndrome
kdel motif-containing protein 2 measurement	D042643	Vascular Endothelial Growth Factor D
keloid	D007627	Keloid
keratinocyte cancer (mtag)	D015603	Keratinocytes
keratoconus	D007640	Keratoconus
ketonuria	D007662	Ketosis
ketonuria (mild)	D007662	Ketosis
ketonuria (moderate to severe)	D007662	Ketosis
kidney cancer	D007680	Kidney Neoplasms
kidney disease (early and late stages) in type 1 diabetes	D003920	Diabetes Mellitus
kidney disease (early stage) in type 1 diabetes	D003920	Diabetes Mellitus
kidney disease (end stage renal disease or albuminuria) in type 1 diabetes	D000419	Albuminuria
kidney disease (end stage renal disease vs macroalbuminuria) in type 1 diabetes	D000419	Albuminuria
kidney disease (end stage renal disease vs non-end stage renal disease) in type 1 diabetes	D003920	Diabetes Mellitus
kidney disease (end stage renal disease vs normoalbuminuria) in type 1 diabetes	D003920	Diabetes Mellitus
kidney disease (late stage) in type 1 diabetes	D003920	Diabetes Mellitus
kidney disease (reduced egfr and albuminuria or end stage renal disease) in type 1 diabetes	D003928	Diabetic Nephropathies
kidney function decline traits	D051436	Renal Insufficiency, Chronic
kidney function traits (multivariate analysis)	D051436	Renal Insufficiency, Chronic
kidney injury molecule levels	D042643	Vascular Endothelial Growth Factor D
kidney stones	D007669	Kidney Calculi
kidney volume	D001837	Body Weights and Measures
kleine-levin syndrome	D017593	Kleine-Levin Syndrome
knee	D007717	Knee
knee osteoarthritis	D020370	Osteoarthritis, Knee
knee osteoarthritis or femoral neck bone mineral density	D020370	Osteoarthritis, Knee
knee osteoarthritis or lumbar spine bone mineral density	D020370	Osteoarthritis, Knee
knee pain	D018771	Arthralgia
knee peak torque response	D007593	Joint Instability
kynurenate levels	D015415	Biomarkers
kynurenine levels	D007737	Kynurenine
kynurenine-oxoglutarate transaminase 1 levels	D042643	Vascular Endothelial Growth Factor D
labial fissure length	D019465	Craniofacial Abnormalities
lachrymal/salivary gland lesion in type 1 autoimmune pancreatitis	D012466	Salivary Gland Diseases
lack of behavioral control	D007175	Impulsive Behavior
lack of perseverance	D007175	Impulsive Behavior
lack of premeditation	D007175	Impulsive Behavior
lactadherin measurement	D015415	Biomarkers
lactate dehydrogenase levels	D040641	Quantitative Trait Loci
lactate dehydrogenase levels in off-statin users	D040641	Quantitative Trait Loci
lactate dehydrogenase levels in statin users	D040641	Quantitative Trait Loci
lactate levels	D008659	Metabolic Diseases
lactose tolerance test	D007789	Lactose Tolerance Test
lactoylglutathione lyase levels	D007791	Lactoylglutathione Lyase
lacunar stroke	D059409	Stroke, Lacunar
lamb consumption	D066273	Diet, Western
lamotrigine-induced maculopapular exanthema	D003875	Drug Eruptions
language impairment in frontotemporal lobe dementia	D007806	Language Disorders
language performance in older adults (adjusted for episodic memory)	D060825	Cognitive Dysfunction
lapatinib-induced hepatotoxicity	D056486	Chemical and Drug Induced Liver Injury
lapatinib-induced hepatotoxicity in breast cancer	D004305	Dose-Response Relationship, Drug
large artery stroke (ccs and toast classification)	D020521	Stroke
large artery stroke (ccsc classification)	D020521	Stroke
large artery stroke (ccs or toast classification)	D020521	Stroke
large artery stroke (ccsp classification)j	D020521	Stroke
large artery stroke	D020521	Stroke
large artery stroke (toast classification)	D020521	Stroke
large b-cell lymphoma	D016403	Lymphoma, Large B-Cell, Diffuse
large hdl particle concentration	D008076	Cholesterol, HDL
large ldl particle concentration	D008078	Cholesterol, LDL
large proline-rich protein bag6 levels	D042643	Vascular Endothelial Growth Factor D
l-arginine levels	D002318	Cardiovascular Diseases
laryngeal squamous cell carcinoma	D002294	Carcinoma, Squamous Cell
late age at menarche	D011628	Puberty, Delayed
late diabetic kidney disease in diabetes	D003928	Diabetic Nephropathies
late diabetic kidney disease in type 2 diabetes	D003928	Diabetic Nephropathies
late gestational weight gain (fetal effect)	D011247	Pregnancy
late gestational weight gain (maternal effect)	D011247	Pregnancy
latent autoimmune diabetes	D000071698	Latent Autoimmune Diabetes in Adults
latent autoimmune diabetes in adults	D000071698	Latent Autoimmune Diabetes in Adults
latent autoimmune diabetes vs. type 1 diabetes	D003922	Diabetes Mellitus, Type 1
latent autoimmune diabetes vs. type 2 diabetes	D003924	Diabetes Mellitus, Type 2
latent naming speed	D000067010	Literacy
late-onset alzheimer's disease	D000544	Alzheimer Disease
late-onset myasthenia gravis	D009157	Myasthenia Gravis
laterality in neovascular age-related macular degeneration	D008268	Macular Degeneration
lateral occipital cortex volume	D009461	Neurologic Manifestations
lateral orbital frontal cortex volume	D009461	Neurologic Manifestations
lateral thalamic nuclei volume	D001921	Brain
lateral ventricle temporal horn volume	D009461	Neurologic Manifestations
lateral ventricle volume	D009461	Neurologic Manifestations
lateral ventricle volume in trauma-exposed individuals	D009461	Neurologic Manifestations
lateral ventricular volume in normal aging	D020547	Lateral Ventricles
ldl cholesterol change in response to fenofibrate in statin-treated type 2 diabetes	D003924	Diabetes Mellitus, Type 2
ldl cholesterol change in response to niacin in statin-treated individuals	D004305	Dose-Response Relationship, Drug
ldl cholesterol	D006937	Hypercholesterolemia
ldl cholesterol levels	D008078	Cholesterol, LDL
ldl cholesterol levels in current drinkers	D008078	Cholesterol, LDL
ldl cholesterol levels in current smokers	D008078	Cholesterol, LDL
ldl cholesterol levels in ever smokers	D008078	Cholesterol, LDL
ldl cholesterol levels in hiv infection	D008078	Cholesterol, LDL
ldl cholesterol levels in never smokers	D008078	Cholesterol, LDL
ldl cholesterol levels in non smokers	D008078	Cholesterol, LDL
ldl cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (1df)	D008078	Cholesterol, LDL
ldl cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	D008078	Cholesterol, LDL
ldl cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (1df)	D008078	Cholesterol, LDL
ldl cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	D008078	Cholesterol, LDL
ldl cholesterol levels x long total sleep time interaction (1df test)	D008055	Lipids
ldl cholesterol levels x long total sleep time interaction (2df test)	D008055	Lipids
ldl cholesterol levels x loop diuretics use interaction	D006949	Hyperlipidemias
ldl cholesterol levels x short total sleep time interaction (1df test)	D008055	Lipids
ldl cholesterol levels x short total sleep time interaction (2df test)	D008055	Lipids
ldl cholesterol levels x smoking (current vs non smokers) interaction (1df test)	D008055	Lipids
ldl cholesterol levels x smoking (current vs non smokers) interaction (2df test)	D008055	Lipids
ldl cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	D008055	Lipids
ldl cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	D008055	Lipids
ldl cholesterol levels x thiazide or thiazide-like diuretics use interaction	D006949	Hyperlipidemias
ldl cholesterol subfractions	D008078	Cholesterol, LDL
ldl cholesterol to hdl cholesterol ratio	D050171	Dyslipidemias
ldl cholesterol x physical activity interaction (1df test)	D050356	Lipid Metabolism
ldl cholesterol x physical activity interaction (2df test)	D050356	Lipid Metabolism
ldl levels x ssri defined daily dose interaction in schizophrenia or bipolar disorder	D006937	Hypercholesterolemia
ldl levels x ssri levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	D006937	Hypercholesterolemia
ldl levels x ssri levels interaction in schizophrenia or bipolar disorder	D006937	Hypercholesterolemia
ldl (oxidized)	D006951	Hyperlipoproteinemias
ldl peak particle diameter (total fat intake interaction)	D050171	Dyslipidemias
lead levels	D014883	Water-Electrolyte Imbalance
lead levels in blood	D007855	Lead Poisoning
lean body mass and age at menarche (combined)	D050218	Body Fat Distribution
lean body mass	D013851	Thinness
lean mass index	D013851	Thinness
lean nonalcoholic fatty liver disease	D065626	Non-alcoholic Fatty Liver Disease
left atrial active emptying fraction	D016279	Atrial Function, Left
left atrial antero-posterior diameter	D017379	Hypertrophy, Left Ventricular
left atrial maximum volume	D006334	Heart Function Tests
left atrial minimum volume	D006334	Heart Function Tests
left atrial passive emptying fraction	D016279	Atrial Function, Left
left atrial total emptying fraction	D016279	Atrial Function, Left
left-handedness	D007839	Functional Laterality
left inferior frontal gyrus (orbital part) cortical thickness	D054222	Cobblestone Lissencephaly
left inferior lateral ventricle volume (cerebrospinal fluid biomarker status interaction)	D009461	Neurologic Manifestations
left parahippocampal gyrus cortical thickness	D054222	Cobblestone Lissencephaly
left planum temporale grey matter volume	D059906	Neuroimaging
left–right brain asymmetry	D009461	Neurologic Manifestations
left superior temporal gyrus thickness (schizophrenia interaction)	D012559	Schizophrenia
left ventricle diastolic internal dimension	D017379	Hypertrophy, Left Ventricular
left  ventricle systolic dysfunction	D006331	Heart Diseases
left ventricle wall thickness	D017379	Hypertrophy, Left Ventricular
left ventricle wall thickness (mtag)	D006334	Heart Function Tests
left ventricular ejection fraction	D016277	Ventricular Function, Left
left ventricular end-diastolic volume	D006331	Heart Diseases
left ventricular end-diastolic volume (mtag)	D006331	Heart Diseases
left ventricular end-systolic volume	D006331	Heart Diseases
left ventricular end-systolic volume (mtag)	D006331	Heart Diseases
left ventricular fractional shortening	D006331	Heart Diseases
left ventricular function change in anthracycline treatment	D016277	Ventricular Function, Left
left ventricular global circumferential strain	D006334	Heart Function Tests
left ventricular global circumferential strain (mtag)	D006334	Heart Function Tests
left ventricular global longitudinal strain	D006334	Heart Function Tests
left ventricular global longitudinal strain (mtag)	D006334	Heart Function Tests
left ventricular global radial strain	D006334	Heart Function Tests
left ventricular global radial strain (mtag)	D006334	Heart Function Tests
left ventricular internal dimension in diastole	D006331	Heart Diseases
left ventricular internal dimension in systole	D006331	Heart Diseases
left ventricular mass	D017379	Hypertrophy, Left Ventricular
left ventricular mass index	D002320	Cardiovascular Physiological Phenomena
left ventricular mass (mtag)	D017379	Hypertrophy, Left Ventricular
left ventricular mass to end-diastolic volume ratio	D016277	Ventricular Function, Left
left ventricular mass x antihypertensive treatment interaction	D004305	Dose-Response Relationship, Drug
left ventricular obstructive tract defect (inherited effect)	D006330	Heart Defects, Congenital
left ventricular obstructive tract defect (maternal effect)	D006330	Heart Defects, Congenital
left ventricular qrs voltage	D008133	Long QT Syndrome
left ventricular stroke volume	D016277	Ventricular Function, Left
leg fat mass and leg lean mass (pleiotropy)	D009765	Obesity
leg lean mass	D013851	Thinness
leg lean mass (fat adjusted)	D013851	Thinness
leishmaniasis (visceral)	D007898	Leishmaniasis, Visceral
leisure-time exercise behaviour (age-stratified)	D015444	Exercise
leisure-time exercise behaviour	D015444	Exercise
length of menstrual cycle	D008597	Menstrual Cycle
lentiform nucleus volume	D009461	Neurologic Manifestations
leprosy	D007918	Leprosy
leptin levels	D020738	Leptin
letter-number span reordering	D065852	Spatial Memory
leucine levels	D007930	Leucine
leucine-rich repeats and immunoglobulin-like domains protein 1 levels	D042643	Vascular Endothelial Growth Factor D
leukemia inhibitory factor receptor levels	D053606	Receptors, OSM-LIF
leukocyte absolute count	D042643	Vascular Endothelial Growth Factor D
leukocyte count	D007958	Leukocyte Count
leukocyte count in ischemic stroke	D007958	Leukocyte Count
leukocyte immunoglobulin-like receptor subfamily a member 5 levels	D042643	Vascular Endothelial Growth Factor D
leukocyte telomere length	D059505	Telomere Homeostasis
leukoderma in response to rhododendrol	D014820	Vitiligo
leukopenia	D007970	Leukopenia
leukopenia in mycophenolic acid treated kidney transplant patients (time to event)	D007970	Leukopenia
levodopa-induced dyskinesia in levodopa treated parkinson's disease	D004409	Dyskinesia, Drug-Induced
lewy body disease	D020961	Lewy Body Disease
lichen planus	D008010	Lichen Planus
lichen planus in hepatitis c	D008010	Lichen Planus
life satisfaction	D010549	Personal Satisfaction
lifespan	D008136	Longevity
life threatening arrhythmia	D001145	Arrhythmias, Cardiac
lifetime anxiety disorder	D001008	Anxiety Disorders
